	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep1	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep2	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep3
Rpl13	-0.140809638	-0.188150877	-0.401653853	-0.33978328	-0.114456872	0.54399072	0.69055119	-0.072604121	-0.747196832
Chmp1a	NA	NA	NA	NA	NA	NA	NA	0.611077929	1.003818085
Rpa1	-1.598107448	NA	NA	NA	NA	NA	NA	NA	NA
Serpinf1	-0.056941361	1.582411485	0.733007184	0.204140717	0.181929438	0.114100452	3.64754477	5.059917639	4.304438029
Ddx3x	NA	-0.426877579	NA	NA	NA	-0.033141365	NA	0.426855132	0.427713432
Hip1r	-0.820030418	-0.066079948	NA	NA	1.751463721	0.319155458	NA	NA	0.264116022
Aox1	0.024319679	NA	NA	NA	NA	NA	NA	NA	NA
Ilf2	0.888226952	0.062674363	0.401193551	-0.092063349	-0.327873412	0.135403531	0.795933147	0.975263322	2.201884743
S100a4	-0.445578142	-0.566249999	-0.599156077	NA	NA	-0.680127767	NA	-3.089881382	-4.40895639
S100a6	-0.493621481	-0.366168936	-1.096005394	NA	0.391987626	-1.163429485	-2.292015881	-2.680012191	-3.770023309
Epn2	-0.379469891	0.367035516	0.25821739	NA	0.10259095	-0.296403127	-0.144217556	-0.067001533	-0.26478979
Sec24b	-0.71415986	NA	NA	NA	NA	NA	NA	NA	NA
Col6a1	-0.167474502	0.739934489	0.429535626	NA	-0.081186364	NA	1.814181243	NA	NA
Pcbp3	0.065296567	0.001441974	0.021906077	-1.503650146	0.575118667	-0.17700071	-0.813169866	0.176705738	0.204140717
Araf	-0.653355078	0.584962501	0.375845725	-0.041803203	0.118891252	0.254473108	0.925923485	1.370610693	1.194654434
Cfp	0.606536983	-0.337776267	0.581206609	NA	0.152118504	-0.110728955	NA	-0.649095461	-0.446855794
Col6a2	-0.187838614	1.280243696	1.949422875	0.572501665	NA	NA	NA	1.021906077	NA
Anxa4	-0.052101983	-0.372804085	-0.575787344	-0.105612927	-0.643044902	-0.343988804	-1.169193019	-0.247217161	1.779974061
Ocrl	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calm1	-0.097486442	0.227001675	0.163112244	-0.32765613	-0.019462808	-0.33752103	-0.448764551	0.455333797	-0.523815352
Sh3bp1	0.269531838	0.225535362	0.208024891	NA	0.01678155	0.158173274	-1.50754174	-0.609530378	-1.040378324
D10Jhu81e	NA	0.717034778	NA	0.140255134	1.548140657	0.170181458	NA	3.105191958	NA
Ckb	0.413702389	0.189666447	-0.117505629	-0.206828247	-0.055036635	-0.093324863	-0.995793469	-0.431053424	0.078473209
Sp1	NA	NA	NA	NA	0.223546116	0.033088169	NA	NA	NA
Cnn1	0.154453593	-1.087242847	0.574634395	0.54072166	NA	-0.040778841	NA	NA	NA
Ccdc132	-0.35812108	0.039699918	0.109293689	-0.035579187	0.363787841	0.223669671	-0.135681109	3.546585829	3.21480868
Hars	-0.66383089	0.375512141	0.230203013	0.153286521	0.746656736	-0.194740568	1.826029786	0.843903469	1.09963185
Cct3	-0.409948961	0.451751815	-0.089436174	0.398240905	0.074642438	0.009777122	0.934856141	1.667438019	3.005471851
Snd1	-0.603314396	0.579276711	0.359633613	0.780897977	-0.192809967	0.204140717	3.002306467	0.559442866	10.98006816
Kpnb1	0.10259095	0.043484498	0.113833829	-0.51154669	0.018634174	0.00992041	-0.532428358	-0.131028832	-0.137981135
Npepps	0.051720116	-0.223744379	-0.486933788	-0.331481443	0.011352507	-0.055636277	-1.493540232	-0.89646879	-0.770461296
Tubb6	0.060047384	-0.23058369	-0.14053926	NA	-1.296190533	-0.193568698	-0.862470246	-1.448626721	-1.201742067
Vwa5a	-0.029205232	-0.238033969	-0.161669401	-0.275122756	-0.058127461	-0.037236301	-0.694508025	-0.50356833	-0.516780122
Col1a1	0.018634174	2.154680414	0.426425791	0.296780417	0.096666669	0.272262125	1.926341069	0.587364991	1.045373071
Nrip2	-0.100592319	0.401848875	-0.282491364	-0.691149882	0.123136427	-0.092417077	-0.66389946	-0.371926346	-0.093740481
Flot1	NA	0.086647913	NA	NA	-0.360378848	0.099497201	1.314348497	1.902305164	NA
Jup	-1.366429293	-0.692664743	-0.177424835	-0.436861399	-0.462157279	0.164528861	NA	NA	NA
Stk38l	NA	-0.262780514	NA	NA	NA	0.798755614	-1.548353672	-0.398265456	-0.106187381
Gstt1	-0.221959678	-0.855927518	-1.023093852	NA	0.152767519	-0.14276741	-1.057301592	-1.099587199	-0.65746801
Ddt	NA	-0.138997486	NA	NA	NA	-0.498790176	NA	NA	NA
Eef1e1	NA	0.536550296	0.545474211	0.103396924	NA	-0.059359635	NA	0.445514838	0.791939065
Akt1	0.775935488	0.158724796	-0.758330632	NA	-0.014528715	-0.022712749	-1.379620039	-1.192842947	-0.961282892
Coasy	-0.049456933	NA	-0.49760829	NA	-0.026587097	0.115033243	NA	-0.564542086	0.330902541
Pabpc1	-0.468471314	-0.618472968	-0.23873175	NA	-0.379019541	0.525367331	0.156914315	-0.81466624	-0.293659535
Folh1	NA	NA	NA	NA	NA	-0.921171592	NA	NA	NA
Chordc1	-0.120576528	0.419646753	-0.155437587	-0.021496823	1.333480982	0.069839625	-1.066336724	-1.500789357	-0.752898856
Naalad2	-0.708467164	-0.440028592	-0.133732923	NA	NA	NA	-1.324418893	-1.851521384	-1.671531148
Rtcb	-0.833618759	-1.199984361	-0.38230657	NA	-0.636795274	-0.293093766	-0.479250903	0.062812492	0.362105136
Capns1	-0.033510468	-0.371459681	-0.281614261	-0.073135224	0.012211084	0.103933991	-0.220076351	3.409662477	4.247547807
Aif1l	0.104739216	0.097745622	-0.080759088	NA	0.150039693	0.019346089	NA	-0.728956862	-1.047726081
Tollip	0.366252264	0.481195593	0.228726355	0.047538389	-0.703196094	-0.716623415	-0.432026285	-1.261327265	-0.574605151
Ace	-0.237455578	-0.517172364	-0.680382066	NA	0.448372395	0.065158675	-3.070966521	-2.778531199	-2.393804164
Uba1	0.21685836	0.001874286	-0.340733022	-0.253377657	0.045303168	-0.106280558	0.795101958	3.371837617	3.521050737
Blvra	0.139993302	0.013783815	-0.415826388	-0.055486343	-0.497587921	-0.059089067	-1.695021764	2.254140484	-1.628117787
Plxnb3	0.387803665	-0.011733415	0.34619103	NA	NA	0.020768865	NA	0.545869551	0.073546061
Bcap31	NA	0.550900665	1.97254562	0.164786278	NA	0.265916914	NA	-0.937215132	0.558169655
Unc119	NA	NA	NA	NA	NA	-0.735307448	NA	0.515611539	0.177216201
Sf3a1	0.476951913	0.570754355	0.581592279	0.19093086	-0.050039325	0.026870865	NA	2.403894845	0.915329676
Uchl3	0.151599082	-0.12505356	-0.225126513	-0.013960481	-0.102806051	-0.107368059	-1.635539626	-3.767742026	-2.326841616
Gmpr2	0.003170443	0.052276765	-0.414672063	NA	0.774080691	0.197110515	NA	-2.999769187	-1.820361565
Mdp1	0.118093889	-0.242106277	-0.192694543	0.063640993	-0.050532301	-0.094402639	-1.581561752	-0.756964674	-0.668959826
Dhrs1	0.681494243	0.523561956	0.442014566	0.468426919	-0.911288495	-0.395226483	1.848077054	0.642470537	1.458854425
Snx9	-0.637603054	0.713871743	-0.104573281	1.500954981	-0.097609931	0.155749233	NA	0.27643711	-0.076843211
Ranbp3	-0.005492684	-0.301994941	0.047259175	NA	-0.432454552	0.16066208	NA	-0.21124748	-1.802939824
Babam1	-0.537193802	NA	-0.090296009	NA	-0.434929309	-0.127809516	NA	1.493339909	-0.250079635
Braf	NA	NA	-0.877605578	NA	NA	NA	NA	NA	NA
Snrpd1	0.059355278	NA	0.347552277	0.59062597	0.023184369	-0.192430751	0.834630322	1.08841301	0.70893764
Slc9a3r2	-0.291680311	0.506601942	0.386479889	0.021906077	0.021479727	-0.164253748	1.169091203	1.052763657	1.458434503
Puf60	-0.011544345	0.825378604	0.119953718	NA	0.027437183	0.217354814	-0.132340711	1.262673687	1.471863768
Uck1	NA	NA	NA	NA	NA	NA	-0.582317581	-0.488855857	-0.479713541
Scin	-0.471088675	0.227617869	-0.331082121	NA	NA	NA	NA	NA	-0.374617279
Mien1	NA	0.050606174	-0.16291254	NA	NA	0.069839625	-1.67802574	-0.720707009	-1.061360401
Cse1l	0.064055064	0.204641566	-0.165450576	-0.314212312	-0.058337757	0.002594517	-0.769993787	-0.554845404	-0.53428668
Naa20	-0.021189342	NA	0.510860674	0.125386605	0.141432791	0.032241931	1.102859658	1.805457561	1.768713657
Prkra	-0.79906884	NA	NA	-0.202123739	-0.031680647	-0.033362815	NA	0.185866545	-3.004508245
Camk2b	-0.166486471	NA	NA	NA	-0.007057586	-0.2804573	NA	NA	0.16117825
Ykt6	0.095721922	-0.244514171	-0.293182153	-0.166907517	-0.343256528	0.113833829	-1.129986502	-0.82452011	-0.587012584
Ppp2r5d	0.189033824	-1.117380425	NA	NA	-0.013756555	0.451540833	NA	-2.038302594	-1.80022402
Nudt14	NA	NA	NA	NA	NA	NA	NA	-0.363233872	-1.659312409
Epdr1	0.110630508	0.170694234	0.134089481	-0.881135319	0.041242982	0.359858472	0.982290874	-0.028587042	-0.083599792
Flii	0.159112461	NA	0.869081754	NA	NA	NA	NA	NA	NA
Plin4	-0.458881696	-1.549958027	-0.146643031	NA	NA	NA	NA	NA	-0.868305165
Hdgfrp2	-1.171433406	NA	NA	NA	-0.005203073	0.107687869	NA	0.828469107	NA
Adprh	0.302523778	0.340391357	-0.022551543	-0.024854095	0.74691466	0.47134356	-1.677471869	-1.106311618	-1.545108202
Map2k7	NA	NA	NA	NA	0.179638435	-0.154682581	NA	NA	NA
Ap2a2	-0.666644968	-0.639332326	-0.204033615	0.495490511	-0.082132924	0.170309669	0.714047649	0.322043506	0.194087052
Pnkp	0.081475982	1.250476553	0.374622206	1.120617361	0.267475872	0.109561152	1.831674601	1.553655402	1.56817807
Bcam	-0.087917362	-0.242055089	0.662843517	-0.025588164	0.150559677	0.02446153	-0.690684091	-0.714775355	-0.644983736
Apoe	0.89351754	0.288890061	0.709202395	0.013926706	-0.701130574	-0.430683909	1.38835488	1.236584458	-0.537151931
Prkar2b	0.341985747	0.19093086	0.083247414	0.012211084	0.13553487	0.25761413	-1.719186182	0.646992084	-1.649276466
Cdkn1b	-0.449414498	-0.125085027	-0.2813337	0.261109529	-0.026822241	0.348685669	-1.125006361	-0.241116962	0.727789789
Ap1m1	-0.87508961	-0.856084197	-0.652697189	-0.190585556	-1.149792655	0.623024029	1.173575207	1.898285759	0.967832611
Rab8a	0.179256247	0.220701417	0.287235865	-0.16339717	-0.06760617	0.302055788	NA	0.161952159	0.532865503
Atp5d	NA	NA	NA	NA	NA	0.202386375	NA	2.478143473	1.38288855
Ppp5c	0.000144262	0.212258044	-0.074365098	NA	-0.133637956	0.153286521	-0.665843655	0.200127654	0.305678743
Lipe	0.801158656	-0.397163088	NA	NA	NA	NA	NA	-2.08033194	-1.975510101
Cnot11	NA	NA	NA	NA	NA	NA	NA	NA	-0.111134036
Sh3gl1	NA	-0.180871395	NA	NA	0.529970829	0.046421211	NA	NA	0.671202777
Irf3	-0.578046952	0.466131129	0.135666197	NA	-0.130712895	-0.194063738	NA	0.81393507	NA
Eif2b5	-0.393027223	-0.49222058	NA	NA	NA	NA	NA	-0.341975937	-0.27226248
Amph	0.281431197	0.493544866	0.351854439	-0.311667433	-0.056191169	0.221320307	0.304627854	0.958657108	1.40152125
Glg1	-0.046190942	1.218471211	1.16407827	NA	NA	0.289598422	NA	NA	0.39429462
Mob3a	0.563353406	-0.344355082	NA	NA	NA	NA	NA	NA	NA
Cacnb3	0.066261442	0.903732448	0.443394475	0.291485686	0.274768566	-0.063997222	NA	1.152378145	1.225028083
Ogdh	-0.567767467	NA	NA	1.012997664	0.775092694	-0.002714819	3.145188323	0.83737816	-0.923659823
Prkcsh	NA	0.342554745	0.883933562	NA	0.150559677	-0.071178698	NA	1.021835027	1.005184376
Nosip	NA	NA	NA	0.372394965	-0.046012197	NA	NA	NA	NA
Rps11	-1.320125852	-0.483077149	-0.032019874	-0.200879529	-0.078015336	-0.126202547	0.110630508	0.149389449	-0.018629543
Supt5	-0.273081614	-0.292051209	-0.764346455	NA	NA	NA	NA	NA	NA
Bicd1	0.428464026	0.750349241	1.034990392	-0.221858723	0.090988888	-0.133732923	NA	1.114233744	1.109427427
Casq1	1.222371811	NA	-0.533576477	NA	NA	0.033229161	-1.394183312	-1.787468013	-0.915962956
Phyhip	NA	NA	-0.684456955	NA	0.38835488	-0.143165657	NA	NA	NA
Inmt	0.522557993	-0.346921634	-1.203767742	NA	NA	NA	-1.993780981	-3.152259595	NA
Gars	0.111699072	-0.270068796	-0.427634161	1.287708686	0.209765266	1.297895714	-1.231413365	-0.478888943	-0.375945909
Tpm4	0.001153695	-0.747366354	0.364012054	-0.225379486	0.303693088	0.457226546	-1.768076127	-2.600686695	-2.861657334
Dusp3	-0.006028617	-0.408531211	-0.331354374	-1.418889825	-0.042174528	0.007339046	-0.924070383	-0.584154818	-0.632360551
Ckm	4.113700499	-2.34431845	-0.314965884	-0.083752676	0.494261988	-2.46697496	-2.681029574	-0.678256582	-0.077680346
As3mt	-1.538178112	0.659376595	-0.439852454	NA	-0.98764587	-0.304807907	-0.840060868	-0.680174	-0.382193748
Sec14l2	-0.12735245	NA	NA	NA	0.40294042	NA	NA	NA	NA
Crot	-1.630795975	NA	NA	NA	-0.102806051	NA	NA	-3.292227861	-2.708867988
Rps6ka1	-0.011268057	NA	NA	NA	NA	NA	NA	NA	NA
Calb2	0.468322644	-0.509183452	-0.350540889	-0.139792009	0.179383654	-0.058112441	-1.8357801	-4.688357388	-4.53175661
Ciao1	NA	NA	0.136716384	NA	NA	NA	NA	-1.033569533	-0.764861165
Kpna6	-0.128897598	-0.166437897	-0.007289568	NA	NA	NA	NA	-0.003235262	0.006764782
Farsa	0.046979908	-0.300608281	0.044184258	NA	-0.20604587	0.277151611	0.043484498	0.787014474	0.823097147
Rad23a	0.223298973	0.009490503	-0.200912694	NA	-0.035505253	0.170053235	-2.38624206	-1.745405957	-1.843681054
Calr	0.300299474	0.615698782	0.659833246	0.271067049	0.643394453	0.466862004	1.550900665	1.08719125	0.850239355
Nqo1	0.168256923	-0.868331502	-0.747535897	-0.47104868	0.152507948	-0.022624816	-1.944415606	-3.533743552	-3.411916961
Ppfia3	0.115033243	NA	NA	NA	NA	NA	NA	NA	0.603691617
Gys1	NA	-1.094587481	NA	NA	NA	NA	NA	-0.600227339	NA
Kpna1	-0.175500959	NA	-0.016833084	NA	NA	-0.087304154	NA	-0.032491975	-1.239123335
Rpl8	-3.427261641	-2.20031584	-0.33772157	NA	-1.369855505	-1.561451638	NA	0.465190888	0.129744606
Gstm5	-0.267808962	-0.486954007	-0.676410877	0.007769594	-0.266697728	-0.006086567	-2.144329166	-0.946666193	-0.552769949
Gstm7	NA	-1.461402243	NA	NA	NA	NA	NA	NA	-0.517998484
Gstm1	-0.245249293	-0.853735805	-0.979259577	0.026870865	-0.091971086	-0.307572802	-1.508034057	-0.476377828	0.388575307
Stat5b	0.075874867	0.067776372	-0.089589678	NA	-0.591614209	-1.012548151	NA	-0.51593407	-0.910908681
Hmox2	NA	NA	NA	NA	0.392097567	NA	NA	NA	NA
Cwc15	NA	NA	0.373397649	NA	-0.085420169	NA	NA	NA	0.075601085
Col5a3	NA	NA	NA	NA	NA	NA	NA	-1.445008478	-1.098598226
Eif3g	0.781065898	0.508631478	0.042083959	NA	-0.154602284	0.03083043	-0.390661078	0.293841299	1.800247628
Adh1	0.051859299	-0.409661467	-0.441046698	0.497842259	-0.20926132	-0.281894876	-1.275471959	0.176960992	2.099530865
Psap	1.114900024	1.883738104	0.639046894	NA	NA	NA	NA	NA	-1.921554117
G6pdx	0.454175893	0.032947164	-0.369836862	NA	-0.170101742	0.12631213	-0.970384566	-0.935806938	-0.86097589
Ptpn6	1.896078055	-0.414441309	0.659467937	NA	NA	NA	NA	NA	-2.100545914
Eno2	0.49036475	0.313245852	-0.105209394	-0.433662171	0.069152202	-0.14683469	3.207877238	5.727212544	5.516235822
Grcc10	NA	NA	NA	NA	NA	NA	-0.623998629	NA	-1.424571484
Atp6v1f	0.092207438	0.369159346	0.199122642	NA	0.182946495	0.103799743	-0.562687023	0.348685669	-0.335662802
Rps5	-1.375983353	-0.474652716	0.032241931	-0.058337757	0.229587923	-0.035150423	0.093560176	0.161694235	0.130403762
Bid	0.483467554	0.513995979	-0.14886464	NA	NA	NA	NA	-1.018264228	-0.929940469
Ralb	-0.11916561	0.332736572	0.799418922	-0.17187215	0.05338942	0.102053383	NA	2.183200647	2.45785691
Coro1c	-0.870018064	-0.127383967	0.088548697	1.190488441	-0.209761775	0.296545508	1.06997707	0.825704232	-1.462793405
Etfb	0.424814621	0.808261474	0.318577154	0.509037042	0.690104161	0.043484498	0.895767932	5.288949105	-0.634061156
Aqp1	NA	NA	NA	NA	0.185232254	NA	NA	NA	NA
Cnn2	-0.005014858	-0.217339824	-0.375871024	0.440314402	0.151079473	0.262673687	-0.539435655	-1.124943431	-0.279861652
Eif2b2	0.221320307	0.394514142	0.129480859	-0.281386301	1.223854985	0.563060483	NA	0.256286071	-1.910447614
Prpsap2	-0.54268939	-0.644374751	-0.460310127	0.413052429	1.184089827	0.128557365	-1.817816231	-2.813499442	-1.637468393
Chmp2b	-0.297732547	NA	-0.216652311	NA	-0.322198626	-0.103146927	NA	0.4379734	0.681314323
Prcc	NA	NA	NA	NA	NA	0.69884077	NA	NA	NA
Hdgf	-0.147665506	0.640343282	0.34857237	0.232415171	0.083655897	0.445832624	0.898711418	-0.174442292	-0.232955457
Crabp2	-0.464424761	0.092207438	-0.587814641	NA	NA	-0.191804438	NA	NA	NA
U2af2	0.283921772	0.608998436	0.416623592	NA	0.127501219	0.043204499	0.170822399	0.747688154	1.042644337
Thop1	0.15924166	-0.063620238	-0.210579558	NA	-0.019258102	1.093424959	-1.639264913	-0.962856783	-0.669969442
Map2k1	0.700350934	-0.145158539	-0.292086538	NA	-0.186852965	-0.200415299	-1.802285552	-0.350007535	0.843421123
Sgta	0.376957114	0.243425362	-0.008435526	-0.420472256	0.225768496	0.156655489	-1.520479687	-1.94158652	-2.402931325
Hspb1	0.247076832	0.009347172	-0.030191942	-0.173368131	0.053806444	-0.204415894	0.867501151	1.127897364	2.467540342
Cstb	0.205642742	-0.403618196	-0.454466481	NA	0.065710164	-0.024927485	-1.215847835	-0.803695123	-1.067727128
Cd44	NA	NA	NA	NA	0.137765808	NA	NA	NA	NA
Wdr1	0.202887833	0.260025656	-0.223643299	0.085560625	-0.026249145	-0.052580703	-0.555248134	-0.253136921	-0.198543314
Ndrg1	-0.269425252	-0.233040235	-0.330211257	-0.471028683	-0.000865877	0.007769594	-1.157206167	1.052346331	2.712727829
Prdx2	0.059078342	-0.093940636	-0.35304477	-0.057046419	-0.00950978	0.053945425	-0.836217909	-0.407363571	-0.847388218
Ufd1l	-0.057046419	0.271903706	0.322043506	0.20614307	0.975923611	0.076832696	2.357214163	-1.626424169	-0.83325885
App	0.594644089	0.768671318	0.890407779	NA	0.431248532	-0.163203299	NA	0.317651385	0.122208862
Cadm3	0.081339627	1.110897723	0.569491092	0.063640993	-0.063801178	-0.091709708	1.087055435	0.806777729	0.628820246
Stx1a	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hmox1	1.184597684	0.878686111	0.836812856	-0.135855465	0.437866901	-0.061902439	0.807684643	-0.037562029	0.818359765
Pafah1b3	0.075601085	-0.051563614	-0.414152918	-0.114613062	-0.002642551	-0.253773239	-1.859090493	-2.900341222	-3.097517313
Prkaca	-0.179138919	0.350610395	0.089226942	0.270110276	0.647821033	0.251446432	1.020128789	0.022758398	0.330787836
Pkn1	NA	-0.29578315	NA	NA	NA	0.1212807	NA	-0.597976423	-1.670796017
Dnajb1	-0.96928255	-0.066638872	0.116763971	0.674822184	1.841610891	-0.224654416	0.502330602	-0.810055287	-0.171157228
Por	0.00662118	NA	NA	NA	0.123533772	NA	NA	0.466235562	-0.127037317
Trim28	0.068326861	0.647821033	0.720978845	-0.064977842	0.070251922	0.085424656	0.602076748	0.886667197	1.502890664
Chmp2a	0.323427718	0.651775011	0.416731671	-0.37250522	0.075327251	0.058939855	0.848958383	0.670205846	0.838508103
Ube2m	0.144307467	-0.139474148	-0.359101479	-0.090418884	-0.04811385	0.121943734	-0.910420496	-0.223508537	-0.160056532
Snx6	-0.18903873	0.179256247	-0.042843154	-0.322018266	-0.076447644	0.039278795	-1.845183511	4.131342539	-0.393197735
Cs	-0.293199831	0.561203921	0.39473363	0.165815488	0.377512488	0.012926174	2.9395275	-3.106435865	-3.21036255
Ampd3	-0.216182979	NA	NA	NA	NA	-0.061134611	NA	NA	0.118359726
Pvalb	2.087123344	-1.028381037	-0.272088256	0.221444053	0.409689628	-2.225059061	-1.480800317	-0.11713005	-1.494800104
Psmb4	0.049770152	0.278222698	0.077242999	-0.031710142	-0.069179414	0.03801469	-0.194245296	0.01306915	0.019061365
Adh5	-0.060291977	-0.114738026	-0.445519201	0.004896843	-0.2839661	-0.122491311	2.038295698	3.354875259	-3.055531322
Reep5	0.400319323	-0.195219493	0.799336025	-0.008479061	-0.16031447	-0.065083487	0.968938605	0.443182267	0.541415716
Ephb3	NA	NA	NA	NA	NA	0.218471211	NA	NA	NA
Rcn1	NA	NA	NA	NA	-0.042352798	0.551392968	NA	0.728573603	NA
Napa	-0.085634483	0.508631478	-0.034544456	-0.027042723	-1.115503667	-0.489078578	0.369717729	0.907506014	1.125849442
Snf8	-0.189203207	0.402831302	0.265436896	-0.020062471	0.014498127	-0.04021501	-0.568302166	2.809743695	2.421048212
Ctsb	0.818032475	0.900644652	0.366364183	-0.981479765	-0.018980333	0.33571191	-0.303009113	NA	-0.888461162
Tbcb	0.16774328	-0.033938744	-0.326280773	-0.184736096	-0.300412834	-0.174800523	-0.971657171	-0.927249334	-0.868884688
Crkl	0.199750857	-0.0690432	-0.159830874	0.073546061	0.619272138	0.242572021	-2.09819665	-3.381693676	-2.873027144
Serpinb9	-0.441340516	-0.341189852	-0.382870813	0.620211026	-0.226290555	0.077653186	0.643486813	-0.024619271	-0.145605322
Atp6v1b1	0.236339539	0.019061365	-0.097980462	-0.477241159	-0.821763415	-0.076508493	-0.56166456	-0.193601696	0.219338923
Aamp	0.303225478	-0.034381923	-0.299595795	NA	0.655992884	0.320426911	NA	-3.537407361	NA
Arpc2	0.240253262	0.450802153	0.321004474	0.144568518	-0.171514645	-0.015913812	0.169411952	2.230080016	2.36485254
Rps9	0.666120303	-0.529509989	-0.116785854	0.029134804	-0.181771142	-0.277743837	0.728486533	0.475084883	0.452173687
Crip1	-0.354279899	-0.068982665	-0.901310956	NA	0.079975377	0.145090477	NA	-1.039073186	-1.361453453
Srm	0.23878686	0.451751815	0.51551062	-0.362677255	-0.189055176	0.166072676	-0.740745594	-2.818782929	-3.049546517
Actn3	1.816640663	-1.292404534	0.299010149	-0.524043536	-0.514264057	0.069839625	0.445726703	0.80933212	0.885964757
Gvin1	1.555914294	NA	NA	NA	NA	NA	NA	NA	NA
Mvd	0.467070757	0.316725022	-0.029278844	0.526970214	-0.167004698	0.159112461	-1.203468693	-0.6845497	-2.214307174
Itih3	0.245252252	-0.173726096	-0.36568554	NA	-0.117427375	-0.578090027	-1.181672961	-4.865311164	-3.720687989
Itih4	2.004285646	0.687687811	0.645517218	-0.304184308	0.710701757	0.171847314	1.425244442	0.931985556	1.140647793
Slc4a1	NA	NA	NA	NA	0.940354712	NA	NA	NA	NA
Aprt	0.124725152	-0.085527322	-0.497323152	NA	NA	-0.124440092	-1.887526713	-1.086967	-1.078045794
Qars	-0.412308579	-0.022258488	-0.08098797	0.367594722	-0.213955731	0.324695414	0.717561277	0.396926676	0.505179567
Qrich1	NA	NA	NA	NA	NA	NA	NA	-1.317606489	NA
Acot13	NA	NA	NA	NA	0.154064674	NA	NA	NA	NA
Pip4k2a	-0.471788775	-0.494759446	-0.442888945	0.627046459	0.077106244	-0.139426475	-1.231582745	-1.981764652	-1.764836651
